title_length,body_length,title_word_count,body_word_count,is_draft,commits_24h,commit_authors_24h,files_changed_24h,additions_24h,deletions_24h,total_changes_24h,changes_per_commit_24h,files_per_commit_24h,deletion_ratio_24h,has_commit_activity_24h,has_file_activity_24h,bottleneck_label
65,917,10,124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
36,56,5,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
34,772,5,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
72,1191,10,178,0,1.0,1.0,5.0,125.0,93.0,218.0,218.0,5.0,0.4266055045871559,1,1,0
52,1611,6,217,0,1.0,1.0,7.0,305.0,94.0,399.0,399.0,7.0,0.2355889724310776,1,1,1
87,550,11,66,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
74,483,9,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
48,873,8,103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
87,2767,11,403,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
79,700,12,65,0,4.0,2.0,87.0,2394.0,576.0,2970.0,742.5,21.75,0.1939393939393939,1,1,0
94,399,11,51,0,3.0,1.0,95.0,2526.0,594.0,3120.0,1040.0,31.666666666666668,0.1903846153846153,1,1,0
43,55,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
67,343,10,49,0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,0.5,1,1,1
35,343,3,49,0,1.0,1.0,57.0,961.0,415.0,1376.0,1376.0,57.0,0.3015988372093023,1,1,0
49,299,7,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
52,140,6,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
53,0,9,0,0,1.0,1.0,85.0,2151.0,1114.0,3265.0,3265.0,85.0,0.3411944869831547,1,1,0
30,266,4,22,1,3.0,1.0,4.0,56.0,8.0,64.0,21.33333333333333,1.3333333333333333,0.125,1,1,0
33,398,4,55,0,2.0,1.0,3.0,32.0,9.0,41.0,20.5,1.5,0.2195121951219512,1,1,0
97,1168,11,153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
44,885,7,123,0,6.0,1.0,309.0,17638.0,5289.0,22927.0,3821.1666666666665,51.5,0.2306887076372835,1,1,0
41,486,5,61,0,1.0,1.0,3.0,81.0,11.0,92.0,92.0,3.0,0.1195652173913043,1,1,0
42,481,6,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
72,419,11,61,0,3.0,1.0,3.0,179.0,22.0,201.0,67.0,1.0,0.1094527363184079,1,1,1
63,963,11,122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33,55,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
23,322,4,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
45,281,6,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
30,1240,5,149,0,11.0,2.0,204.0,7568.0,4235.0,11803.0,1073.0,18.545454545454547,0.3588070829450139,1,1,0
53,950,8,95,0,1.0,1.0,61.0,1178.0,323.0,1501.0,1501.0,61.0,0.2151898734177215,1,1,0
80,1741,11,277,0,1.0,1.0,3.0,10.0,40.0,50.0,50.0,3.0,0.8,1,1,0
47,0,8,0,0,2.0,1.0,24.0,162.0,700.0,862.0,431.0,12.0,0.8120649651972158,1,1,0
51,293,7,45,0,1.0,1.0,300.0,26051.0,13154.0,39205.0,39205.0,300.0,0.3355184287718403,1,1,0
50,2129,8,213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
47,786,7,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
16,0,2,0,0,1.0,1.0,4.0,98.0,14.0,112.0,112.0,4.0,0.125,1,1,0
60,1445,9,180,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
55,68,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
64,2175,9,218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
68,898,12,125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
50,640,8,91,0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,1.0,0.2,1,1,0
55,1970,9,254,0,3.0,1.0,8.0,161.0,51.0,212.0,70.66666666666667,2.6666666666666665,0.240566037735849,1,1,0
76,3172,11,418,0,1.0,1.0,1.0,11.0,8.0,19.0,19.0,1.0,0.4210526315789473,1,1,0
49,2947,7,236,0,2.0,1.0,189.0,7208.0,4013.0,11221.0,5610.5,94.5,0.357633009535692,1,1,0
60,1520,9,197,0,1.0,1.0,2.0,107.0,31.0,138.0,138.0,2.0,0.2246376811594203,1,1,0
66,809,11,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
74,2018,12,313,0,1.0,1.0,2.0,59.0,36.0,95.0,95.0,2.0,0.3789473684210526,1,1,1
37,1579,6,204,0,3.0,1.0,2.0,222.0,40.0,262.0,87.33333333333333,0.6666666666666666,0.1526717557251908,1,1,0
36,63,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
38,343,4,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
37,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
90,3218,12,423,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
48,343,9,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
51,35,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
56,238,8,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
67,944,10,141,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1
60,1011,9,159,0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,0.75,1,1,0
85,211,12,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
75,1082,10,125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
75,1174,10,131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
66,2456,10,343,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
68,2961,10,388,0,1.0,1.0,58.0,889.0,937.0,1826.0,1826.0,58.0,0.5131434830230011,1,1,1
51,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
80,6062,11,664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
73,6689,11,751,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
58,650,7,89,0,1.0,1.0,1.0,5.0,2.0,7.0,7.0,1.0,0.2857142857142857,1,1,1
63,838,8,128,0,2.0,1.0,35.0,1602.0,164.0,1766.0,883.0,17.5,0.0928652321630804,1,1,0
53,37,9,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
50,945,7,85,0,1.0,1.0,4.0,144.0,2.0,146.0,146.0,4.0,0.0136986301369863,1,1,0
26,91,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
58,2751,8,334,0,3.0,1.0,91.0,4944.0,2505.0,7449.0,2483.0,30.33333333333333,0.3362867498993153,1,1,1
69,908,12,151,0,1.0,1.0,1.0,38.0,11.0,49.0,49.0,1.0,0.2244897959183673,1,1,1
60,1234,8,178,0,2.0,1.0,45.0,2083.0,302.0,2385.0,1192.5,22.5,0.1266247379454926,1,1,0
64,3922,7,472,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
51,735,7,103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
31,172,5,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
77,875,9,133,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
42,408,6,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
26,343,4,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
73,885,9,102,0,2.0,1.0,92.0,5001.0,2454.0,7455.0,3727.5,46.0,0.3291750503018109,1,1,0
39,352,5,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
51,401,8,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
48,155,5,17,0,1.0,1.0,68.0,3206.0,2406.0,5612.0,5612.0,68.0,0.4287241625089095,1,1,0
77,1102,9,142,0,1.0,1.0,6.0,57.0,22.0,79.0,79.0,6.0,0.2784810126582278,1,1,0
65,568,9,90,0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,0.5,1,1,0
75,1631,12,226,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
47,691,7,102,0,1.0,1.0,2.0,79.0,2.0,81.0,81.0,2.0,0.0246913580246913,1,1,0
50,1056,7,143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
35,349,6,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
38,55,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
