pr_number,title_length,body_length,title_word_count,body_word_count,is_draft,commits_24h,commit_authors_24h,files_changed_24h,additions_24h,deletions_24h,total_changes_24h,changes_per_commit_24h,files_per_commit_24h,deletion_ratio_24h,has_commit_activity_24h,has_file_activity_24h,change_risk_label
335518,39,9083,5,1232,False,1.0,1.0,2.0,146.0,0.0,146.0,146.0,2.0,0.0,1,1,0
335517,54,1343,8,196,False,2.0,1.0,25.0,1062.0,460.0,1522.0,761.0,12.5,0.3022339027595269,1,1,0
335515,54,1485,7,194,False,1.0,1.0,15.0,731.0,20.0,751.0,751.0,15.0,0.0266311584553928,1,1,0
335511,54,4283,6,588,False,2.0,1.0,7.0,155.0,46.0,201.0,100.5,3.5,0.2288557213930348,1,1,0
335510,41,343,7,49,False,3.0,1.0,93.0,7207.0,528.0,7735.0,2578.333333333333,31.0,0.0682611506140917,1,1,1
335506,60,1309,8,180,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335504,122,4453,17,592,False,6.0,1.0,113.0,8088.0,706.0,8794.0,1465.6666666666667,18.83333333333333,0.0802820104616784,1,1,1
335502,57,1859,8,193,False,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1,1,0
335501,45,2297,6,315,False,1.0,1.0,2.0,117.0,19.0,136.0,136.0,2.0,0.1397058823529411,1,1,0
335497,60,619,8,63,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335491,42,1186,5,173,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335490,51,2925,8,356,False,1.0,1.0,1.0,3.0,3.0,6.0,6.0,1.0,0.5,1,1,0
335487,54,31,8,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335482,37,343,7,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335481,50,368,7,42,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335480,54,3188,6,432,False,3.0,1.0,281.0,18895.0,2152.0,21047.0,7015.666666666667,93.66666666666669,0.102247351166437,1,1,1
335479,30,1356,5,127,False,7.0,1.0,349.0,5469.0,1430.0,6899.0,985.5714285714286,49.85714285714285,0.2072764168720104,1,1,1
335478,49,343,9,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335474,46,363,7,39,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335471,45,2475,6,300,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335466,31,343,4,49,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335463,45,1936,7,195,False,1.0,1.0,2.0,14.0,2.0,16.0,16.0,2.0,0.125,1,1,0
335462,45,2227,7,225,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335461,47,4130,6,454,False,1.0,1.0,1.0,20.0,4.0,24.0,24.0,1.0,0.1666666666666666,1,1,0
335459,51,1618,7,213,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335455,56,2103,9,273,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335454,38,943,7,118,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335453,58,3874,9,356,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335452,75,946,14,146,False,1.0,1.0,3.0,194.0,5.0,199.0,199.0,3.0,0.0251256281407035,1,1,0
335450,45,1563,6,180,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335447,69,55,9,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335443,57,781,9,116,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335439,27,55,4,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335436,44,1864,7,175,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335434,51,1226,8,152,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335433,52,1487,8,203,False,2.0,1.0,2.0,51.0,9.0,60.0,30.0,1.0,0.15,1,1,0
335431,58,1606,9,228,False,3.0,1.0,33.0,813.0,255.0,1068.0,356.0,11.0,0.2387640449438202,1,1,1
335430,54,840,9,118,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335427,51,585,9,64,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
335424,49,1485,6,203,False,1.0,1.0,300.0,16149.0,4520.0,20669.0,20669.0,300.0,0.2186849871788669,1,1,1
335419,71,1059,8,142,False,3.0,2.0,2.0,223.0,9.0,232.0,77.33333333333333,0.6666666666666666,0.0387931034482758,1,1,0
335417,61,2705,7,333,False,2.0,1.0,4.0,96.0,54.0,150.0,75.0,2.0,0.36,1,1,0
335414,55,1158,6,144,True,3.0,1.0,150.0,9338.0,1977.0,11315.0,3771.6666666666665,50.0,0.1747238179407865,1,1,1
