embedding_dimension,coefficient,absolute_coefficient
274,-0.4604084301545547,0.4604084301545547
32,-0.45998129959317113,0.45998129959317113
59,-0.4575220632988762,0.4575220632988762
218,-0.45686581921607733,0.45686581921607733
308,0.4564542244989004,0.4564542244989004
183,0.45573564770663766,0.45573564770663766
49,-0.4544129308489854,0.4544129308489854
150,0.4526590841633842,0.4526590841633842
235,-0.45115733039266914,0.45115733039266914
119,-0.45075700033227095,0.45075700033227095
159,-0.447686240532715,0.447686240532715
383,0.447622348130996,0.447622348130996
256,-0.44655886679384366,0.44655886679384366
163,0.4454512773282579,0.4454512773282579
143,0.4422774284172944,0.4422774284172944
76,-0.44113442501116934,0.44113442501116934
296,-0.43655597064740853,0.43655597064740853
341,0.4360543138899686,0.4360543138899686
280,0.4342121454614556,0.4342121454614556
77,-0.4340096754544745,0.4340096754544745
213,0.4330450282260276,0.4330450282260276
354,0.4322519395754867,0.4322519395754867
325,0.4318187219561601,0.4318187219561601
362,0.4315102810220138,0.4315102810220138
23,0.42309483537569237,0.42309483537569237
241,-0.4229362479449966,0.4229362479449966
318,-0.42194058751027036,0.42194058751027036
82,0.419891497603163,0.419891497603163
35,0.41785204317755786,0.41785204317755786
368,-0.4162246915916332,0.4162246915916332
158,-0.4143958014769236,0.4143958014769236
46,-0.4109271381106873,0.4109271381106873
227,0.4074805685313819,0.4074805685313819
208,-0.4005042329012843,0.4005042329012843
380,0.39081904753436736,0.39081904753436736
244,-0.38739754694105727,0.38739754694105727
360,0.3806933795250075,0.3806933795250075
166,0.3753023008025119,0.3753023008025119
269,0.37465847272639025,0.37465847272639025
122,0.36875744753698997,0.36875744753698997
17,-0.36802747283073733,0.36802747283073733
214,0.3664671858255111,0.3664671858255111
42,0.3650283341236146,0.3650283341236146
273,-0.3543522620318698,0.3543522620318698
371,0.3508489693270795,0.3508489693270795
267,-0.34721071292963435,0.34721071292963435
262,0.34552737690115093,0.34552737690115093
381,0.34513157891782265,0.34513157891782265
96,0.3442801705625989,0.3442801705625989
95,0.34302289139280423,0.34302289139280423
365,0.3406452972421954,0.3406452972421954
248,0.33953364224349425,0.33953364224349425
63,0.33760816214930434,0.33760816214930434
239,0.3311624297616079,0.3311624297616079
182,-0.3287419503420079,0.3287419503420079
351,0.3260886902492632,0.3260886902492632
86,-0.3250629313000952,0.3250629313000952
363,-0.32222352973405133,0.32222352973405133
315,0.32041290307651377,0.32041290307651377
272,0.31979230059429087,0.31979230059429087
307,-0.3149722234894361,0.3149722234894361
51,-0.3114398099581782,0.3114398099581782
157,-0.3014211106352087,0.3014211106352087
24,-0.2998591478821272,0.2998591478821272
173,0.29509436056263993,0.29509436056263993
287,0.2935896870174511,0.2935896870174511
382,-0.2851887867228329,0.2851887867228329
174,-0.28489955773530495,0.28489955773530495
65,-0.28328388908843677,0.28328388908843677
228,-0.28061225019897545,0.28061225019897545
93,-0.2786004378922245,0.2786004378922245
78,0.2702509067054567,0.2702509067054567
135,-0.26824303723272314,0.26824303723272314
131,0.26110604556999506,0.26110604556999506
9,-0.2600542507605352,0.2600542507605352
276,-0.2598960727662914,0.2598960727662914
314,-0.258898183748311,0.258898183748311
55,-0.2576270988756732,0.2576270988756732
101,-0.25608289863583245,0.25608289863583245
91,-0.2554442564148315,0.2554442564148315
220,0.2514333066947894,0.2514333066947894
221,0.2432737961702212,0.2432737961702212
172,0.23959467842772827,0.23959467842772827
265,0.2330130323493398,0.2330130323493398
333,-0.23275498873214634,0.23275498873214634
369,-0.2327091208507182,0.2327091208507182
375,0.23167758110043912,0.23167758110043912
240,0.23164938005928984,0.23164938005928984
367,0.23039637878039074,0.23039637878039074
72,0.22781810937136995,0.22781810937136995
344,-0.22766935953865963,0.22766935953865963
188,-0.22733640235083324,0.22733640235083324
255,-0.22700740057677585,0.22700740057677585
75,0.22393792110179336,0.22393792110179336
258,0.2210351292037394,0.2210351292037394
38,-0.2170407101904681,0.2170407101904681
286,0.2150863112408909,0.2150863112408909
176,-0.21301593679491665,0.21301593679491665
136,0.21287673422495854,0.21287673422495854
322,0.21218594865246962,0.21218594865246962
329,0.21192549933949542,0.21192549933949542
275,-0.2117452623751923,0.2117452623751923
120,0.20971627673614943,0.20971627673614943
111,-0.2076292204114686,0.2076292204114686
243,0.20749316278891666,0.20749316278891666
25,0.20712594370461723,0.20712594370461723
144,0.20388807434430242,0.20388807434430242
216,0.19950860681950322,0.19950860681950322
171,0.1994162302654746,0.1994162302654746
257,-0.19916314277729086,0.19916314277729086
339,0.19751610541636114,0.19751610541636114
165,0.1971254824206074,0.1971254824206074
104,0.1960486554891473,0.1960486554891473
249,-0.1931133233120045,0.1931133233120045
11,0.1879063855953523,0.1879063855953523
160,-0.18109376894041776,0.18109376894041776
50,0.1762092812135702,0.1762092812135702
92,0.17422434267428166,0.17422434267428166
21,-0.17400441252231755,0.17400441252231755
237,-0.1731793698829859,0.1731793698829859
19,-0.17121342955256194,0.17121342955256194
366,-0.16758550944782408,0.16758550944782408
263,0.1666175134768695,0.1666175134768695
250,-0.16587659436810423,0.16587659436810423
230,-0.16376233897055084,0.16376233897055084
87,0.16055764389683258,0.16055764389683258
83,0.15873806452362255,0.15873806452362255
20,0.15637123386874283,0.15637123386874283
60,-0.15277519505515316,0.15277519505515316
168,-0.15013604278186796,0.15013604278186796
324,-0.14846140425441814,0.14846140425441814
242,-0.1461083805058455,0.1461083805058455
118,0.13921281101285116,0.13921281101285116
138,-0.13684158684192566,0.13684158684192566
85,0.13287392315506125,0.13287392315506125
39,-0.13275607424093477,0.13275607424093477
199,-0.13254124698134762,0.13254124698134762
113,-0.13202876249510087,0.13202876249510087
379,-0.1256840363632827,0.1256840363632827
