pr_number,commits_count,commit_authors,files_changed,additions,deletions,total_changes,max_file_changes,avg_file_changes,files_added,files_modified,files_removed,files_renamed,deletion_ratio,changes_per_commit,files_per_commit,developers_involved
327356,2,2,4.0,8.0,7.0,15.0,7.0,3.75,0.0,4.0,0.0,0.0,0.4666666666666667,7.5,2.0,2
327361,2,1,10.0,135.0,93.0,228.0,55.0,13.411764705882353,0.0,17.0,0.0,0.0,0.40789473684210525,114.0,5.0,1
327366,1,1,10.0,81.0,17.0,98.0,40.0,9.8,0.0,10.0,0.0,0.0,0.17346938775510204,98.0,10.0,1
327367,26,3,22.0,892.0,387.0,1279.0,98.0,16.189873417721518,0.0,79.0,0.0,0.0,0.30258014073494915,49.19230769230769,0.8461538461538461,3
327369,2,1,2.0,65.0,4.0,69.0,51.0,23.0,1.0,2.0,0.0,0.0,0.057971014492753624,34.5,1.0,1
327372,2,1,7.0,76.0,46.0,122.0,31.0,11.090909090909092,0.0,11.0,0.0,0.0,0.3770491803278688,61.0,3.5,1
327374,7,1,14.0,1050.0,343.0,1393.0,120.0,38.69444444444444,5.0,31.0,0.0,0.0,0.24623115577889448,199.0,2.0,1
327375,4,2,303.0,12222.0,4740.0,16962.0,1389.0,55.07142857142857,36.0,254.0,14.0,4.0,0.2794481782808631,4240.5,75.75,2
327376,6,1,52.0,995.0,356.0,1351.0,208.0,22.147540983606557,3.0,57.0,0.0,1.0,0.26350851221317545,225.16666666666666,8.666666666666666,1
327378,2,1,1.0,11.0,3.0,14.0,9.0,7.0,0.0,2.0,0.0,0.0,0.21428571428571427,7.0,0.5,1
327379,1,1,1.0,35.0,25.0,60.0,60.0,60.0,0.0,1.0,0.0,0.0,0.4166666666666667,60.0,1.0,1
327381,2,1,2.0,120.0,9.0,129.0,51.0,32.25,0.0,4.0,0.0,0.0,0.06976744186046512,64.5,1.0,1
327383,6,1,301.0,16180.0,3637.0,19817.0,4674.0,62.712025316455694,25.0,289.0,2.0,0.0,0.1835292930312358,3302.8333333333335,50.166666666666664,1
327385,6,1,135.0,4389.0,697.0,5086.0,905.0,35.816901408450704,11.0,130.0,0.0,1.0,0.13704286276051908,847.6666666666666,22.5,1
327387,1,1,10.0,69.0,45.0,114.0,26.0,11.4,0.0,10.0,0.0,0.0,0.39473684210526316,114.0,10.0,1
327388,3,1,3.0,9.0,6.0,15.0,7.0,3.0,0.0,5.0,0.0,0.0,0.4,5.0,1.0,1
327389,1,1,10.0,79.0,10.0,89.0,32.0,8.9,0.0,10.0,0.0,0.0,0.11235955056179775,89.0,10.0,1
327391,2,2,304.0,14151.0,2455.0,16606.0,905.0,54.625,45.0,254.0,4.0,1.0,0.14783813079609778,8303.0,152.0,2
327393,3,1,9.0,516.0,89.0,605.0,263.0,37.8125,0.0,16.0,0.0,0.0,0.14710743801652892,201.66666666666666,3.0,1
327394,1,1,4.0,73.0,8.0,81.0,46.0,20.25,0.0,4.0,0.0,0.0,0.09876543209876543,81.0,4.0,1
327395,2,1,2.0,10.0,22.0,32.0,17.0,10.666666666666666,0.0,3.0,0.0,0.0,0.6875,16.0,1.0,1
327397,1,1,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.5,2.0,1.0,1
327398,5,2,398.0,21776.0,3993.0,25769.0,4674.0,63.470443349753694,35.0,369.0,2.0,0.0,0.15495362645038613,5153.8,79.6,2
327399,2,2,195.0,6632.0,837.0,7469.0,905.0,38.302564102564105,33.0,162.0,0.0,0.0,0.11206319453742135,3734.5,97.5,2
327400,2,2,195.0,6628.0,833.0,7461.0,905.0,38.261538461538464,33.0,162.0,0.0,0.0,0.11164723227449404,3730.5,97.5,2
327401,9,1,303.0,12884.0,2734.0,15618.0,905.0,48.959247648902824,38.0,276.0,4.0,1.0,0.17505442438212318,1735.3333333333333,33.666666666666664,1
327403,4,2,302.0,11929.0,3132.0,15061.0,818.0,49.54276315789474,32.0,270.0,2.0,0.0,0.20795431910231724,3765.25,75.5,2
327405,2,1,1.0,3.0,2.0,5.0,3.0,2.5,0.0,2.0,0.0,0.0,0.4,2.5,0.5,1
327406,1,1,1.0,2.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.3333333333333333,3.0,1.0,1
327407,1,1,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.5,2.0,1.0,1
327408,3,1,12.0,884.0,57.0,941.0,154.0,49.526315789473685,3.0,16.0,0.0,0.0,0.06057385759829968,313.6666666666667,4.0,1
327409,1,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
327410,2,1,27.0,77.0,171.0,248.0,181.0,8.857142857142858,0.0,28.0,0.0,0.0,0.6895161290322581,124.0,13.5,1
327412,3,1,244.0,9672.0,1153.0,10825.0,905.0,43.825910931174086,36.0,210.0,0.0,1.0,0.10651270207852194,3608.3333333333335,81.33333333333333,1
327414,2,1,2.0,202.0,37.0,239.0,152.0,59.75,0.0,4.0,0.0,0.0,0.15481171548117154,119.5,1.0,1
327416,26,2,945.0,60618.0,14110.0,74728.0,4674.0,55.767164179104476,142.0,1172.0,14.0,12.0,0.18881811369232415,2874.153846153846,36.34615384615385,2
327417,5,1,269.0,9330.0,1377.0,10707.0,905.0,37.70070422535211,41.0,243.0,0.0,0.0,0.1286074530680863,2141.4,53.8,1
327418,3,1,314.0,12108.0,4026.0,16134.0,1389.0,49.643076923076926,29.0,282.0,10.0,4.0,0.24953514317590184,5378.0,104.66666666666667,1
327419,1,1,6.0,56.0,6.0,62.0,25.0,10.333333333333334,0.0,6.0,0.0,0.0,0.0967741935483871,62.0,6.0,1
327420,1,1,7.0,352.0,16.0,368.0,143.0,52.57142857142857,0.0,7.0,0.0,0.0,0.043478260869565216,368.0,7.0,1
327421,2,1,15.0,208.0,134.0,342.0,78.0,20.11764705882353,0.0,17.0,0.0,0.0,0.391812865497076,171.0,7.5,1
327422,2,1,4.0,218.0,19.0,237.0,103.0,39.5,2.0,4.0,0.0,0.0,0.08016877637130802,118.5,2.0,1
327423,1,1,6.0,132.0,12.0,144.0,64.0,24.0,0.0,6.0,0.0,0.0,0.08333333333333333,144.0,6.0,1
327425,2,1,2.0,33.0,5.0,38.0,20.0,9.5,0.0,4.0,0.0,0.0,0.13157894736842105,19.0,1.0,1
327426,3,1,10.0,259.0,43.0,302.0,148.0,23.23076923076923,0.0,13.0,0.0,0.0,0.1423841059602649,100.66666666666667,3.3333333333333335,1
327427,4,1,302.0,12644.0,4292.0,16936.0,1389.0,54.80906148867314,31.0,263.0,10.0,5.0,0.2534246575342466,4234.0,75.5,1
327428,2,1,7.0,255.0,23.0,278.0,78.0,30.88888888888889,0.0,9.0,0.0,0.0,0.08273381294964029,139.0,3.5,1
327431,2,1,2.0,39.0,6.0,45.0,33.0,11.25,0.0,4.0,0.0,0.0,0.13333333333333333,22.5,1.0,1
327432,1,1,9.0,206.0,11.0,217.0,129.0,24.11111111111111,2.0,7.0,0.0,0.0,0.05069124423963134,217.0,9.0,1
327433,3,1,10.0,118.0,44.0,162.0,24.0,7.043478260869565,1.0,22.0,0.0,0.0,0.2716049382716049,54.0,3.3333333333333335,1
