file_name,unique_developers_per_file,single_contributor_flag
.github/workflows/no-package-lock-changes.yml,2,0
.github/workflows/no-yarn-lock-changes.yml,2,0
.github/workflows/node_modules_cache/README.md,6,0
.github/workflows/node_modules_cache/benchmark.ps1,1,1
.github/workflows/node_modules_cache/cache.ps1,6,0
.github/workflows/node_modules_cache/cache.sh,6,0
.github/workflows/pr-darwin-test.yml,108,0
.github/workflows/pr-linux-cli-test.yml,71,0
.github/workflows/pr-linux-test.yml,93,0
.github/workflows/pr-node-modules.yml,80,0
.github/workflows/pr-win32-test.yml,95,0
.github/workflows/pr.yml,106,0
.github/workflows/release.yml,1,1
.github/workflows/require-commit-trailer.yml,44,0
.github/workflows/screenshot-test.yml,3,0
.github/workflows/sessions-e2e.yml,71,0
.github/workflows/telemetry.yml,83,0
.gitignore,86,0
.gitmodules,1,1
.impeccable/design.json,1,1
.kiro/skills/launch/SKILL.md,1,1
.kiro/spec/add-tscode-welcome-page/README.md,1,1
.kiro/spec/add-tscode-welcome-page/RESET_ANIMATION.md,1,1
.kiro/spec/add-tscode-welcome-page/SUMMARY.md,1,1
.kiro/spec/add-tscode-welcome-page/TSCODE_WELCOME_DEBUG.md,1,1
.kiro/spec/add-tscode-welcome-page/TSCODE_WELCOME_PAGE.md,1,1
.kiro/spec/add-tscode-welcome-page/TSCODE_WELCOME_QUICK_START.md,1,1
.kiro/spec/add-tscode-welcome-page/TSCODE_WELCOME_TEST.md,1,1
.kiro/spec/add-tscode-welcome-page/TSCODE_WELCOME_VERIFICATION.md,1,1
.kiro/spec/add-tscode-welcome-page/test-tscode-welcome.sh,1,1
.kiro/spec/add-tscode-welcome-page/tscode-welcome-page.md,1,1
.kiro/specs/tscode-oauth-login/.config.kiro,2,0
.kiro/specs/tscode-oauth-login/README.md,2,0
.kiro/specs/tscode-oauth-login/design.md,2,0
.kiro/specs/tscode-oauth-login/requirements.md,2,0
.kiro/specs/tscode-oauth-login/tasks.md,2,0
.kiro/steering/vscode-architecture-reference.md,1,1
.kiro/steering/vscode-guidelines.md,1,1
.mailmap,6,0
.npmrc,100,0
.nvmrc,33,0
.vscode-test.js,48,0
.vscode/cglicenses.schema.json,5,0
.vscode/customization-migration-user-data-dir/.gitignore,1,1
.vscode/customization-migration-user-data-dir/User/prompts/sample-explain.prompt.md,1,1
.vscode/customization-migration-user-data-dir/User/prompts/sample-review.instructions.md,1,1
.vscode/customization-migration-user-data-dir/User/prompts/sample-reviewer.agent.md,1,1
.vscode/customization-migration-user-data-dir/User/settings.json,1,1
.vscode/extensions.json,3,0
.vscode/extensions/vscode-extras/package-lock.json,2,0
.vscode/extensions/vscode-extras/package.json,2,0
.vscode/extensions/vscode-extras/src/extension.ts,3,0
.vscode/extensions/vscode-extras/src/npmUpToDateFeature.ts,5,0
.vscode/extensions/vscode-extras/tsconfig.json,3,0
.vscode/extensions/vscode-pr-pinger/.vscodeignore,2,0
.vscode/extensions/vscode-pr-pinger/package-lock.json,2,0
.vscode/extensions/vscode-pr-pinger/package.json,2,0
.vscode/extensions/vscode-pr-pinger/src/extension.ts,2,0
.vscode/extensions/vscode-pr-pinger/tsconfig.json,2,0
.vscode/extensions/vscode-selfhost-import-aid/tsconfig.json,2,0
.vscode/extensions/vscode-selfhost-test-provider/package-lock.json,4,0
.vscode/extensions/vscode-selfhost-test-provider/package.json,4,0
.vscode/extensions/vscode-selfhost-test-provider/src/testOutputScanner.ts,2,0
.vscode/extensions/vscode-selfhost-test-provider/src/testTree.ts,2,0
.vscode/extensions/vscode-selfhost-test-provider/src/vscodeTestRunner.ts,2,0
.vscode/extensions/vscode-selfhost-test-provider/tsconfig.json,2,0
.vscode/launch.json,10,0
.vscode/mcp.json,4,0
.vscode/notebooks/api.github-issues,5,0
.vscode/notebooks/endgame.github-issues,108,0
.vscode/notebooks/grooming.github-issues,1,1
.vscode/notebooks/my-endgame.github-issues,108,0
.vscode/notebooks/my-work.github-issues,3,0
.vscode/notebooks/verification.github-issues,3,0
.vscode/resumeStuckRenderer.ts,1,1
.vscode/searches/no-any-casts.code-search,1,1
.vscode/settings.json,45,0
.vscode/tasks.json,53,0
AGENTS.md,8,0
Application Verifier/.vscode/tasks.json,1,1
CODE-OSS-UPSTREAM.md,2,0
CONTRIBUTING.md,4,0
CodeQL.yml,29,0
DESIGN.md,1,1
DEVELOPMENT.md,1,1
FIX_EXPLANATION.md,1,1
FUSIONIDE.md,1,1
PRODUCT.md,1,1
README.md,75,0
STATUS.md,1,1
TEST-PLAN-332192-SCRATCH.md,1,1
ThirdPartyNotices.txt,5,0
build/.cachesalt,78,0
build/.moduleignore,85,0
build/.moduleignore.win32,46,0
build/.npmrc,4,0
build/agent-sdk/README.md,48,0
build/agent-sdk/agents/claude/package-lock.json,82,0
build/agent-sdk/agents/claude/package.json,72,0
build/agent-sdk/agents/codex/package-lock.json,69,0
build/agent-sdk/agents/codex/package.json,69,0
build/agent-sdk/common.ts,4,0
build/agent-sdk/package.ts,32,0
build/agent-sdk/produce.ts,4,0
build/agent-sdk/test/versionSync.test.ts,28,0
build/agent-sdk/upload.ts,4,0
build/azure-pipelines/alpine/product-build-alpine-cli.yml,30,0
build/azure-pipelines/alpine/product-build-alpine-node-modules.yml,73,0
build/azure-pipelines/alpine/product-build-alpine.yml,89,0
build/azure-pipelines/cli/cli-apply-patches.yml,1,1
build/azure-pipelines/cli/cli-compile.yml,5,0
build/azure-pipelines/common/agent-sdk-produce.yml,4,0
build/azure-pipelines/common/apply-copilot-override.ts,1,1
build/azure-pipelines/common/apply-copilot-override.yml,1,1
build/azure-pipelines/common/apply-sdk-canary-override.ts,57,0
build/azure-pipelines/common/apply-sdk-canary.yml,40,0
build/azure-pipelines/common/build-copilot-runtime-target.ts,1,1
build/azure-pipelines/common/buildCopilotOverride.ts,1,1
build/azure-pipelines/common/bump-insiders-version.yml,1,1
build/azure-pipelines/common/checkCopilotChatCompatibility.ts,2,0
build/azure-pipelines/common/checkDistroCommit.ts,5,0
build/azure-pipelines/common/checkForArtifact.js,1,1
build/azure-pipelines/common/checkForArtifact.ts,1,1
build/azure-pipelines/common/checkNativeOptionalDeps.ts,26,0
build/azure-pipelines/common/checkout.yml,7,0
build/azure-pipelines/common/codesign.js,1,1
build/azure-pipelines/common/codesign.ts,1,1
build/azure-pipelines/common/computeBuiltInDepsCacheKey.js,1,1
build/azure-pipelines/common/computeBuiltInDepsCacheKey.ts,28,0
build/azure-pipelines/common/computeNodeModulesCacheKey.js,1,1
build/azure-pipelines/common/computeNodeModulesCacheKey.ts,15,0
build/azure-pipelines/common/configure-copilot-source-registry.ts,1,1
build/azure-pipelines/common/copilotOverride.ts,1,1
build/azure-pipelines/common/copilotSource.ts,1,1
build/azure-pipelines/common/copilotSourcePublish.ts,1,1
build/azure-pipelines/common/createBuild.js,1,1
build/azure-pipelines/common/createBuild.ts,5,0
build/azure-pipelines/common/dictation-runtime-produce.yml,38,0
build/azure-pipelines/common/disableFoundryLocalInstall.ts,66,0
build/azure-pipelines/common/downloadCopilotVsix.ts,5,0
build/azure-pipelines/common/downloadNotice.ts,8,0
build/azure-pipelines/common/extract-telemetry.sh,2,0
build/azure-pipelines/common/extract-telemetry.ts,3,0
build/azure-pipelines/common/foundry-local.yml,44,0
build/azure-pipelines/common/foundryLocalInstall.ts,43,0
build/azure-pipelines/common/foundryLocalInstallUtils.cjs,1,1
build/azure-pipelines/common/getPublishAuthTokens.js,1,1
build/azure-pipelines/common/getPublishAuthTokens.ts,2,0
build/azure-pipelines/common/install-builtin-extensions.yml,28,0
build/azure-pipelines/common/install-runtime-build-toolchain.ts,1,1
build/azure-pipelines/common/installPlaywright.js,4,0
build/azure-pipelines/common/listNodeModules.js,1,1
build/azure-pipelines/common/listNodeModules.ts,15,0
build/azure-pipelines/common/mintGithubAppToken.ts,1,1
build/azure-pipelines/common/mixin-vscode-capi.yml,6,0
build/azure-pipelines/common/pipelineApi.ts,1,1
build/azure-pipelines/common/prepare-copilot-runtime-source.ts,1,1
build/azure-pipelines/common/product-smoke-flaky-build.yml,50,0
build/azure-pipelines/common/product-smoke-flaky-test.yml,50,0
build/azure-pipelines/common/product-test-artifacts.yml,1,1
build/azure-pipelines/common/product-test-build.yml,1,1
